record,fs,duration_s,n_samples,n_seizures,hr_mean_global_bpm
synth_01,200.0,7200,1440000,3,87.71666666666667
synth_02,200.0,7200,1440000,1,77.975
synth_03,200.0,7200,1440000,2,86.90833333333333
synth_04,200.0,7200,1440000,1,78.45
synth_05,200.0,7200,1440000,2,87.11666666666667
synth_06,200.0,7200,1440000,1,78.20833333333333
synth_07,200.0,7200,1440000,3,81.225
synth_08,200.0,7200,1440000,1,78.08333333333334
synth_09,200.0,7200,1440000,3,92.45833333333333
synth_10,200.0,7200,1440000,2,80.05
synth_11,200.0,7200,1440000,3,88.58333333333334
synth_12,200.0,7200,1440000,1,77.975
synth_13,200.0,7200,1440000,1,78.45833333333333
synth_14,200.0,7200,1440000,2,85.28333333333333
synth_15,200.0,7200,1440000,3,95.05
synth_16,200.0,7200,1440000,2,86.85833333333333
synth_17,200.0,7200,1440000,3,87.90833333333335
synth_18,200.0,7200,1440000,2,79.99166666666666
synth_19,200.0,7200,1440000,1,78.275
synth_20,200.0,7200,1440000,3,87.99166666666667
synth_21,200.0,7200,1440000,3,83.01666666666667
synth_22,200.0,7200,1440000,3,84.76666666666667
synth_23,200.0,7200,1440000,2,79.64166666666668
synth_24,200.0,7200,1440000,3,87.41666666666666
synth_25,200.0,7200,1440000,3,89.7
synth_26,200.0,7200,1440000,2,82.725
synth_27,200.0,7200,1440000,2,85.925
synth_28,200.0,7200,1440000,3,89.21666666666667
synth_29,200.0,7200,1440000,3,87.71666666666667
synth_30,200.0,7200,1440000,3,86.06666666666666
synth_31,200.0,7200,1440000,2,86.33333333333333
synth_32,200.0,7200,1440000,3,95.35
synth_33,200.0,7200,1440000,3,86.08333333333333
synth_34,200.0,7200,1440000,2,80.81666666666666
synth_35,200.0,7200,1440000,2,83.68333333333334
synth_36,200.0,7200,1440000,2,86.6
synth_37,200.0,7200,1440000,2,79.68333333333334
synth_38,200.0,7200,1440000,3,85.99166666666666
synth_39,200.0,7200,1440000,2,81.30833333333334
synth_40,200.0,7200,1440000,3,89.10000000000001
synth_41,200.0,7200,1440000,3,90.50833333333333
synth_42,200.0,7200,1440000,3,86.13333333333333
synth_43,200.0,7200,1440000,1,78.01666666666667
synth_44,200.0,7200,1440000,1,77.92500000000001
synth_45,200.0,7200,1440000,2,79.025
synth_46,200.0,7200,1440000,1,78.35833333333333
synth_47,200.0,7200,1440000,2,79.675
synth_48,200.0,7200,1440000,2,83.11666666666667
synth_49,200.0,7200,1440000,3,87.72500000000001
synth_50,200.0,7200,1440000,1,78.29166666666666
